Service Time-> 8:30   8:30 12 1
Service Time-> 8:42   8:36 6 3
Service Time-> 8:48   8:44 6 1
Service Time-> 8:54   8:54 4 2
Service Time-> 9:0   9:0 11 2
Service Time-> 9:11   9:10 1 3
Service Time-> 9:20   9:20 5 3
Service Time-> 9:28   9:28 8 3
Service Time-> 9:37   9:37 9 1
Service Time-> 9:46   9:42 2 3
Service Time-> 9:49   9:49 7 2
Service Time-> 9:56   9:56 15 3
Service Time-> 10:11   10:4 6 2
Service Time-> 10:17   10:13 10 3
Service Time-> 10:27   10:18 13 1
Service Time-> 10:40   10:25 2 1
Service Time-> 10:42   10:41 5 2
Service Time-> 10:47   10:35 9 3
Service Time-> 10:56   10:47 4 3
Service Time-> 11:0   10:57 2 1
Service Time-> 11:4   11:4 13 3
Service Time-> 11:17   11:11 13 1
Service Time-> 11:30   11:17 12 1
Service Time-> 11:42   11:24 13 2
Service Time-> 11:55   11:43 14 2
Service Time-> 12:9   11:59 6 1
Service Time-> 12:15   12:8 12 1
Service Time-> 12:27   12:17 14 1
Service Time-> 12:41   12:33 1 1
Service Time-> 12:42   12:41 6 2
Service Time-> 12:48   11:34 2 3
Service Time-> 12:50   11:50 6 3
Service Time-> 12:56   12:23 5 3
Service Time-> 13:1   12:46 3 3
Service Time-> 13:4   13:2 6 2
Service Time-> 13:10   13:7 14 1
Service Time-> 13:24   13:13 4 1
Service Time-> 13:28   13:28 8 2
Service Time-> 13:36   12:55 1 3
Service Time-> 13:37   13:20 11 3
Service Time-> 13:48   13:48 2 2
Service Time-> 13:50   13:34 13 3
Service Time-> 14:3   13:40 9 3
Service Time-> 14:12   14:6 15 1
Service Time-> 14:27   14:17 1 1
Service Time-> 14:28   14:27 8 2
Service Time-> 14:36   14:35 7 2
Service Time-> 14:43   14:42 4 1
Service Time-> 14:47   13:58 2 3
Service Time-> 14:49   14:48 8 2
Service Time-> 14:57   14:11 11 3
Service Time-> 15:8   14:54 12 3
Service Time-> 15:20   15:14 8 1
Service Time-> 15:28   15:28 12 2
Service Time-> 15:40   15:0 2 3
Service Time-> 15:42   15:9 3 3
Service Time-> 15:45   15:20 14 3
Service Time-> 15:59   15:59 14 2
Service Time-> 16:13   16:9 15 2
Service Time-> 16:28   16:18 13 1
Service Time-> 16:41   16:24 10 1
Service Time-> 16:51   16:48 10 1
Service Time-> 17:1   17:0 5 1
Service Time-> 17:6   17:5 11 1
Service Time-> 17:17   17:10 3 1
Service Time-> 17:20   16:32 10 2
Service Time-> 17:30   17:26 6 1
Service Time-> 17:36   16:42 6 2
Service Time-> 17:42   15:37 15 3
Service Time-> 17:57   15:43 4 3
Service Time-> 18:1   15:50 2 3
Service Time-> 18:3   16:53 1 3
Service Time-> 18:4   17:16 11 3
Service Time-> 18:15   17:34 2 3
Service Time-> 18:17   17:44 3 3
Service Time-> 18:20   17:50 11 3
